id,telephone,email,devices,location,Android,Desktop,Iphone,city,name,country,first_name,last_name
0001,533-849-3913,jamie.bright@example.com,['Android'],"{'City': 'Montreal', 'Country': 'Canada'}",1.0,0.0,0.0,Montreal,Jamie Bright,Canada,Jamie,Bright
0002,652-272-9539,arabella.knox@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Arabella,Knox
0003,385-702-8874,yusra.fletcher@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,1.0,1.0,Toronto,Yusra Fletcher,Canada,Yusra,Fletcher
0004,621-797-5367,esme.nielsen@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Esme,Nielsen
0005,194-640-2758,beatrix.everett@example.com,,,1.0,0.0,0.0,Paris,Beatrix Everett,Unknown,Beatrix,Everett
0006,243-955-3782,dean.lewis@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Dean,Lewis
0007,489-241-7631,inaaya.velasquez@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Inaaya,Velasquez
0008,262-380-8877,tasnim.cobb@example.com,['Desktop'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Tasnim,Cobb
0009,504-421-4485,asa.vazquez@example.com,['Android'],"{'City': 'Toronto', 'Country': 'Canada'}",1.0,0.0,0.0,Toronto,Asa Vazquez,Canada,Asa,Vazquez
0010,549-515-6738,keith.donovan@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Keith,Donovan
0011,131-622-5442,moshe.colon@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Moshe,Colon
0012,379-352-6285,hussain.santos@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Hussain,Santos
0013,488-762-8236,lillian.hanna@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Lillian,Hanna
0014,597-677-6862,harvey.guerrero@example.com,['Iphone'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Harvey,Guerrero
0015,659-190-9378,leroy.barrera@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Leroy,Barrera
0016,467-370-7724,zack.griffin@example.com,['Desktop'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Zack,Griffin
0017,429-916-1662,adele.garza@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Adele,Garza
0018,218-605-4170,sandra.cherry@example.com,['Desktop'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Sandra,Cherry
0019,527-368-7429,carmen.burton@example.com,"['Android', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,1.0,0.0,Toronto,Carmen Burton,Canada,Carmen,Burton
0020,730-260-4630,donald.stone@example.com,"['Android', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,0.0,London,Donald Stone,United Kingdom,Donald,Stone
0021,715-116-6302,clifford.mcgee@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Clifford,Mcgee
0022,660-116-3336,gerald.maldonado@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Gerald,Maldonado
0023,727-709-3351,danielle.glenn@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Danielle,Glenn
0024,981-878-3234,isabelle.lopez@example.com,,,1.0,0.0,1.0,Paris,Isabelle Lopez,Unknown,Isabelle,Lopez
0025,495-292-8149,alina.mccoy@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Alina,Mccoy
0026,866-664-7969,julius.garrett@example.com,,,1.0,1.0,1.0,Barcelona,Julius Garrett,Unknown,Julius,Garrett
0027,139-396-1336,frazer.anthony@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Frazer,Anthony
0028,811-806-5304,cassie.molina@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Cassie,Molina
0029,368-987-3267,dafydd.preston@example.com,,,1.0,1.0,1.0,Barcelona,Dafydd Preston,Unknown,Dafydd,Preston
0030,830-901-9870,stephanie.rice@example.com,['Android'],"{'City': 'Montreal', 'Country': 'Canada'}",1.0,0.0,0.0,Montreal,Stephanie Rice,Canada,Stephanie,Rice
0031,937-172-2269,bradley.butler@example.com,['Iphone'],"{'City': 'Montreal', 'Country': 'Canada'}",0.0,0.0,1.0,Montreal,Bradley Butler,Canada,Bradley,Butler
0032,334-279-1420,alejandro.brandt@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Alejandro,Brandt
0033,917-348-4728,louise.daniel@example.com,,,1.0,0.0,1.0,Barcelona,Louise Daniel,Unknown,Louise,Daniel
0034,868-828-4315,livia.howe@example.com,['Iphone'],"{'City': 'Toronto', 'Country': 'Canada'}",0.0,0.0,1.0,Toronto,Livia Howe,Canada,Livia,Howe
0035,742-395-8995,linda.combs@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Linda,Combs
0036,365-145-3897,dominik.odling@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Dominik,Odling
0037,640-348-2128,lili.schroeder@example.com,"['Android', 'Iphone']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,0.0,1.0,Toronto,Lili Schroeder,Canada,Lili,Schroeder
0038,277-350-5557,jeremiah.martin@example.com,['Android'],"{'City': 'London', 'Country': 'United Kingdom'}",1.0,0.0,0.0,London,Jeremiah Martin,United Kingdom,Jeremiah,Martin
0039,845-797-2979,keyaan.holland@example.com,,,1.0,0.0,1.0,Barcelona,Keyaan Holland,Unknown,Keyaan,Holland
0040,958-605-3200,clara.bird@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Clara,Bird
0041,872-906-9681,cody.riley@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,1.0,London,Cody Riley,United Kingdom,Cody,Riley
0042,492-337-4468,tomas.griffith@example.com,['Iphone'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,0.0,1.0,London,Tomas Griffith,United Kingdom,Tomas,Griffith
0043,617-226-9486,elena.pineda@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Elena,Pineda
0044,505-179-8348,diana.davenport@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Diana,Davenport
0045,946-560-7738,cordelia.houston@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Cordelia,Houston
0046,713-179-2294,abubakar.house@example.com,['Desktop'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Abubakar,House
0047,986-149-3342,celia.terry@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Celia,Terry
0048,573-696-6671,esther.mccall@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Esther,Mccall
0049,584-182-6496,idris.proctor@example.com,"['Android', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Idris,Proctor
0050,639-790-8394,bruno.noble@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Bruno,Noble
0051,689-881-9382,herman.munoz@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Herman,Munoz
0052,837-435-2302,amaan.rangel@example.com,"['Android', 'Iphone']","{'City': 'Montreal', 'Country': 'Canada'}",1.0,0.0,1.0,Montreal,Amaan Rangel,Canada,Amaan,Rangel
0053,115-215-7565,prince.thompson@example.com,['Desktop'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Prince,Thompson
0054,924-146-4189,bethany.santana@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Bethany,Santana
0055,448-597-4211,ernest.martinez@example.com,"['Android', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Ernest,Martinez
0056,981-489-3689,susannah.o'doherty@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Susannah,O'Doherty
0057,917-866-8131,billie.price@example.com,['Desktop'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,1.0,0.0,London,Billie Price,United Kingdom,Billie,Price
0058,427-711-9658,orlando.pitts@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Orlando,Pitts
0059,299-560-9666,phoebe.weiss@example.com,"['Android', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,0.0,London,Phoebe Weiss,United Kingdom,Phoebe,Weiss
0060,989-786-8538,juanita.baldwin@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Juanita,Baldwin
0061,624-535-4606,honor.jacobson@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Honor,Jacobson
0062,743-856-9854,ty.mcintyre@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Ty,Mcintyre
0063,545-458-1679,johnathan.berger@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Johnathan,Berger
0064,202-632-2346,jason.snyder@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Jason,Snyder
0065,612-360-5367,aled.silva@example.com,['Iphone'],"{'City': 'Toronto', 'Country': 'Canada'}",0.0,0.0,1.0,Toronto,Aled Silva,Canada,Aled,Silva
0066,447-728-9592,aisha.webb@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Aisha,Webb
0067,816-321-4054,dewi.keith@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Dewi,Keith
0068,978-659-7286,saif.green@example.com,,,0.0,0.0,1.0,Paris,Saif Green,Unknown,Saif,Green
0069,699-966-4749,saoirse.keller@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Saoirse,Keller
0070,651-335-6190,valerie.oneal@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,1.0,1.0,Toronto,Valerie Oneal,Canada,Valerie,Oneal
0071,491-981-1293,ilyas.dunlap@example.com,['Iphone'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,0.0,1.0,London,Ilyas Dunlap,United Kingdom,Ilyas,Dunlap
0072,927-708-1141,kingsley.moyer@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Kingsley,Moyer
0073,794-314-2500,kara.stewart@example.com,,,1.0,0.0,1.0,Paris,Kara Stewart,Unknown,Kara,Stewart
0074,525-796-7991,myrtle.doyle@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,1.0,1.0,Toronto,Myrtle Doyle,Canada,Myrtle,Doyle
0075,346-207-2724,marjorie.shields@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Marjorie,Shields
0076,581-100-2001,taha.casey@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Taha,Casey
0077,138-806-4136,cleo.greer@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Cleo,Greer
0078,868-463-1850,angela.mcmillan@example.com,['Android'],"{'City': 'London', 'Country': 'United Kingdom'}",1.0,0.0,0.0,London,Angela Mcmillan,United Kingdom,Angela,Mcmillan
0079,598-995-3909,vivian.peterson@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Vivian,Peterson
0080,812-775-9881,cheryl.owens@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Cheryl,Owens
0081,629-807-5687,ahmad.castro@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Ahmad,Castro
0082,932-653-8020,casper.freeman@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Casper,Freeman
0083,323-591-3874,zachery.brennan@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Zachery,Brennan
0084,512-649-7865,safia.ayers@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Safia,Ayers
0085,743-908-5464,clarence.hanson@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Clarence,Hanson
0086,247-523-1403,douglas.browning@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Douglas,Browning
0087,300-879-5941,rahim.cuevas@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Rahim,Cuevas
0088,931-502-4660,humza.velez@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Humza,Velez
0089,520-305-7264,everett.fitzpatrick@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Everett,Fitzpatrick
0090,138-515-3364,anas.blevins@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Anas,Blevins
0091,924-287-4068,amir.clark@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,1.0,London,Amir Clark,United Kingdom,Amir,Clark
0092,604-185-7149,mohamed.barr@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Mohamed,Barr
0093,686-123-8571,elif.khan@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Elif,Khan
0094,667-185-1569,mia.horne@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Mia,Horne
0095,702-511-6770,miles.fisher@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Miles,Fisher
0096,255-874-4270,nadia.neal@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Nadia,Neal
0097,776-243-3725,alastair.buckley@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Alastair,Buckley
0098,313-374-6903,traci.banks@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Traci,Banks
0099,900-712-6799,colby.hart@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Colby,Hart
0100,431-103-9132,usman.swanson@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,1.0,London,Usman Swanson,United Kingdom,Usman,Swanson
0101,672-651-8173,michelle.love@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Michelle,Love
0102,507-883-4629,alina.walls@example.com,['Android'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Alina,Walls
0103,830-584-4874,caspar.hudson@example.com,['Iphone'],"{'City': 'Toronto', 'Country': 'Canada'}",0.0,0.0,1.0,Toronto,Caspar Hudson,Canada,Caspar,Hudson
0104,750-801-9657,chelsea.wyatt@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Chelsea,Wyatt
0105,768-545-4465,franklin.conway@example.com,"['Android', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Franklin,Conway
0106,159-468-6067,ruth.andrews@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Ruth,Andrews
0107,296-740-3450,polly.reyes@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Polly,Reyes
0108,174-389-8757,mohsin.tucker@example.com,['Desktop'],"{'City': 'Toronto', 'Country': 'Canada'}",0.0,1.0,0.0,Toronto,Mohsin Tucker,Canada,Mohsin,Tucker
0109,441-847-1955,huw.valentine@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Huw,Valentine
0110,947-926-6369,pearl.perez@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Pearl,Perez
0111,956-438-3865,harriett.mccoy@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Harriett,Mccoy
0112,559-282-1575,aiden.galvan@example.com,['Desktop'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Aiden,Galvan
0113,940-569-5175,kaan.miranda@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Kaan,Miranda
0114,488-382-1416,laurie.melendez@example.com,"['Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",0.0,1.0,1.0,Toronto,Laurie Melendez,Canada,Laurie,Melendez
0115,432-515-4933,tanya.watson@example.com,"['Android', 'Iphone']","{'City': 'Montreal', 'Country': 'Canada'}",1.0,0.0,1.0,Montreal,Tanya Watson,Canada,Tanya,Watson
0116,663-149-3581,gerard.vargas@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Gerard,Vargas
