email,telephone_x,promotion,responded,telephone_y,first_name,last_name,city,country,id
alessandro.french@example.com,216-516-1958,Popsi,Yes,216-516-1958,Alessandro,French,,Unknown,0934
isobelle.davidson@example.com,,Popsi,Yes,237-295-4490,Isobelle,Davidson,,Unknown,0530
steven.reid@example.com,490-977-4025,Popsi,Yes,490-977-4025,Steven,Reid,,Unknown,0296
caleb.obrien@example.com,223-387-1014,Krafty Cheddar,Yes,223-387-1014,Caleb,Obrien,Toronto,Canada,0768
kyran.duncan@example.com,,Oreoz,Yes,433-632-3326,Kyran,Duncan,,Unknown,0971
nora.donaldson@example.com,414-618-5713,Colgatex,Yes,414-618-5713,Nora,Donaldson,,Unknown,0828
alejandro.kent@example.com,,GatorBoost,Yes,915-320-3214,Alejandro,Kent,,Unknown,0927
deacon.boone@example.com,,Oreoz,Yes,950-335-6994,Deacon,Boone,,Unknown,0861
azaan.roth@example.com,,Flixnet,Yes,130-119-2032,Azaan,Roth,,Unknown,0206
bradley.butler@example.com,,RedCow,Yes,937-172-2269,Bradley,Butler,Montreal,Canada,0031
usman.swanson@example.com,431-103-9132,Coca-Splash,No,431-103-9132,Usman,Swanson,London,United Kingdom,0100
christopher.pollard@example.com,,GatorBoost,No,915-743-9764,Christopher,Pollard,,Unknown,0415
neil.haynes@example.com,421-219-5363,Coca-Splash,Yes,421-219-5363,Neil,Haynes,,Unknown,0225
owen.michael@example.com,,Oreoz,No,178-910-8863,Owen,Michael,Toronto,Canada,0383
katrina.foster@example.com,497-544-5065,Coca-Splash,No,497-544-5065,Katrina,Foster,London,United Kingdom,0336
everly.key@example.com,152-557-5017,GatorBoost,No,152-557-5017,Everly,Key,,Unknown,0627
zara.washington@example.com,,Dovee,No,679-367-1926,Zara,Washington,London,United Kingdom,0246
david.mcconnell@example.com,,KittyKat,No,967-585-7262,David,Mcconnell,,Unknown,0576
rishi.barron@example.com,331-128-4346,Oreoz,No,331-128-4346,Rishi,Barron,Montreal,Canada,0608
aidan.mcmahon@example.com,,Popsi,No,896-647-2628,Aidan,Mcmahon,,Unknown,0525
faizan.hill@example.com,572-649-5353,RedCow,No,572-649-5353,Faizan,Hill,,Unknown,0294
fraser.hooper@example.com,228-636-9031,Oreoz,No,228-636-9031,Fraser,Hooper,,Unknown,0384
nikhil.peck@example.com,395-769-3300,RedCow,No,395-769-3300,Nikhil,Peck,,Unknown,0357
ahmad.castro@example.com,,Popsi,Yes,629-807-5687,Ahmad,Castro,,Unknown,0081
tony.shepard@example.com,,Colgatex,No,416-772-8288,Tony,Shepard,Barcelona,Spain,0218
brenda.deleon@example.com,997-981-2043,Flixnet,No,997-981-2043,Brenda,Deleon,Paris,France,0798
astrid.delgado@example.com,641-317-3741,Popsi,No,641-317-3741,Astrid,Delgado,London,United Kingdom,0599
dhruv.villarreal@example.com,931-559-3083,RedCow,No,931-559-3083,Dhruv,Villarreal,London,United Kingdom,0180
chester.bell@example.com,,Flixnet,No,501-541-1518,Chester,Bell,,Unknown,0853
safaa.lopez@example.com,863-714-5286,Colgatex,No,863-714-5286,Safaa,Lopez,,Unknown,0402
kamal.gates@example.com,,Oreoz,No,622-660-1036,Kamal,Gates,,Unknown,0581
tomasz.baker@example.com,,Oreoz,No,778-642-7614,Tomasz,Baker,Barcelona,Spain,0872
mark.friedman@example.com,111-862-3502,Flixnet,No,111-862-3502,Mark,Friedman,,Unknown,0207
wade.hancock@example.com,245-455-9119,Popsi,No,245-455-9119,Wade,Hancock,London,United Kingdom,0703
kian.stephens@example.com,,Popsi,No,820-881-5658,Kian,Stephens,,Unknown,0418
jean.winters@example.com,526-938-2752,KittyKat,Yes,526-938-2752,Jean,Winters,,Unknown,0973
marwa.dennis@example.com,444-295-8051,GatorBoost,Yes,444-295-8051,Marwa,Dennis,,Unknown,0752
maximillian.atkins@example.com,421-834-8740,Oreoz,Yes,421-834-8740,Maximillian,Atkins,Toronto,Canada,0264
jean.winters@example.com,,Popsi,Yes,526-938-2752,Jean,Winters,,Unknown,0973
mitchell.murray@example.com,,Dovee,Yes,939-709-6815,Mitchell,Murray,,Unknown,0902
montgomery.davila@example.com,,Krafty Cheddar,No,267-999-7224,Montgomery,Davila,,Unknown,0748
