transaction_id,phone,store,items,person_id
1000,233-159-4158,Trader Tales,"['Krafty Cheddar (x1)', 'Popsi (x1)', 'Oreoz (x2)']",0854
1001,725-427-2794,PetPals Mart,['Colgatex (x1)'],0341
1002,659-190-9378,Trader Tales,"['Colgatex (x1)', 'Dovee (x1)', 'Flixnet (x1)']",0015
1003,334-436-6254,Urban Outfitters Loft,"['Krafty Cheddar (x2)', 'RedCow (x1)', 'Dovee (x2)']",0371
1004,615-102-4849,PetPals Mart,"['Popsi (x1)', 'Flixnet (x1)']",0480
1005,294-365-8364,Urban Outfitters Loft,"['Popsi (x1)', 'KittyKat (x2)']",0850
1006,634-813-9351,BestChoice Buy,"['Flixnet (x1)', 'Colgatex (x2)']",0564
1007,273-616-5739,SparkMart,"['KittyKat (x2)', 'RedCow (x1)', 'Dovee (x3)']",0297
1008,839-124-9420,SparkMart,"['Colgatex (x1)', 'RedCow (x1)', 'KittyKat (x1)']",0305
1009,645-829-7495,Trader Tales,['Krafty Cheddar (x1)'],0169
1010,444-295-8051,Trader Tales,"['Flixnet (x1)', 'RedCow (x1)', 'Popsi (x1)']",0752
1011,520-305-7264,Trader Tales,"['Colgatex (x1)', 'Popsi (x1)', 'Flixnet (x1)']",0089
1012,891-887-3513,PetPals Mart,"['Colgatex (x1)', 'Flixnet (x3)']",0202
1013,114-507-5478,BestChoice Buy,"['RedCow (x1)', 'Colgatex (x1)', 'Dovee (x2)']",0526
1014,558-608-9550,BestChoice Buy,['Krafty Cheddar (x1)'],0370
1015,372-218-6551,BestChoice Buy,"['Colgatex (x1)', 'Krafty Cheddar (x2)', 'Popsi (x1)']",0132
1016,441-847-1955,Urban Outfitters Loft,"['Popsi (x3)', 'Dovee (x3)', 'Flixnet (x1)']",0109
1017,924-146-4189,PetPals Mart,['Dovee (x1)'],0054
1018,512-600-6692,Urban Outfitters Loft,['Dovee (x2)'],0986
1019,362-464-9875,Trader Tales,"['Popsi (x1)', 'Colgatex (x2)']",0894
1020,101-165-2021,SparkMart,"['Flixnet (x1)', 'Popsi (x2)']",0742
1021,563-494-9026,Urban Outfitters Loft,['Colgatex (x1)'],0328
1022,918-588-9531,Trader Tales,"['RedCow (x2)', 'Krafty Cheddar (x1)']",0368
1023,315-892-7127,PetPals Mart,"['KittyKat (x3)', 'Popsi (x2)', 'Dovee (x1)']",0735
1024,640-390-3390,Trader Tales,"['Flixnet (x2)', 'RedCow (x3)']",0944
1025,626-458-8110,Targeted Treasures,['RedCow (x2)'],0693
